Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
MANGALORE/PANAMBUR,IN,43285,12.95,74.8333,2026-02-04,00:00,00Z,45,47,2,,,45,0,46,1,UWYO,OK,Exact 250 mb level.
BENGALURU,IN,43295,12.9667,77.5833,2026-02-03,00:00,00Z,54,52,-2,,,50,-4,50,-5,UWYO,OK,Exact 250 mb level.
AMINIDIVI,IN,43311,11.1167,72.7333,2026-02-04,00:00,00Z,25,27,2,,,27,2,29,4,UWYO,OK,Exact 250 mb level.
PORT BLAIR,IN,43333,11.6667,92.7167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KARAIKAL,IN,43346,10.9167,79.8333,2026-02-04,00:00,00Z,33,30,-3,,,32,-1,30,-3,UWYO,OK,Exact 250 mb level.
COCHIN/WILLINGDON,IN,43353,9.95,76.2667,2026-02-04,00:00,00Z,25,27,2,,,26,1,28,3,UWYO,OK,Exact 250 mb level.
MINICOY,IN,43369,8.2813,73.0581,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
THIRUVANANTHAPURAM (43371-0),IN,43371,8.4833,76.95,2026-02-04,00:00,00Z,16,15,-2,,,19,3,19,3,UWYO,OK,Exact 250 mb level.
COLOMBO,LK,43466,6.9,79.8667,2026-02-04,00:00,00Z,8,9,1,,,8,0,7,-1,UWYO,OK,Exact 250 mb level.
ULAANGOM,MN,44212,49.9714,92.0778,2026-02-03,12:00,12Z,43,42,-1,,,45,2,45,2,UWYO,OK,Exact 250 mb level.
MUREN,MN,44231,49.6384,100.167,2026-02-04,00:00,00Z,80,77,-3,,,77,-4,80,-1,UWYO,OK,Exact 250 mb level.
ULAANBAATAR,MN,44292,47.9184,106.8479,2026-02-04,00:00,00Z,66,67,1,,,67,1,67,1,UWYO,OK,Exact 250 mb level.
DALANZADGAD,MN,44373,43.5772,104.4181,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KOWLOON (45004-0),HK,45004,22.3119,114.1728,2026-02-04,00:00,00Z,74,73,-1,,,68,-6,68,-6,UWYO,OK,Exact 250 mb level.
PYONGYANG,KP,47058,39.0333,125.7833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
OSAN AB,KR,47122,37.0833,127.0333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
CHUPUNGNYEONG,KR,47135,36.2202,127.9946,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
POHANG,KR,47138,36.032,129.38,2026-02-04,00:00,00Z,82,89,7,,,91,9,91,9,UWYO,OK,Exact 250 mb level.
CHANGWON,KR,47155,35.1702,128.5728,2026-02-04,00:00,00Z,102,95,-7,,,97,-5,97,-5,UWYO,OK,Exact 250 mb level.
GWANGJU AB,KR,47158,35.1167,126.8,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
HEUKSANDO,KR,47169,34.6872,125.451,2026-02-04,00:00,00Z,119,114,-6,,,113,-6,116,-3,UWYO,OK,Exact 250 mb level.
NATIONAL TYPHOON CENTER,KR,47186,33.3315,126.6784,2026-02-04,00:00,00Z,127,128,1,,,126,-1,127,0,UWYO,OK,Exact 250 mb level.
DEOKJEOKBUKRI,KR,47230,37.2645,126.103,2026-02-04,00:00,00Z,76,80,4,,,83,7,84,8,UWYO,OK,Exact 250 mb level.
WAKKANAI,JP,47401,45.4153,141.6786,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SAPPORO,JP,47412,43.06,141.3286,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KUSHIRO (47418-0),JP,47418,42.9861,144.3772,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
AKITA (47582-0),JP,47582,39.7172,140.0994,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
WAJIMA,JP,47600,37.3914,136.8953,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
TATENO,JP,47646,36.0581,140.1258,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
HACHIJOJIMA,JP,47678,33.1217,139.7792,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
MATSUE,JP,47741,35.4572,133.0656,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SHIONOMISAKI (47778-0),JP,47778,33.4503,135.7572,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
FUKUOKA,JP,47807,33.5822,130.3764,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KAGOSHIMA,JP,47827,31.555,130.548,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
NAZE,JP,47909,28.3797,129.4955,2026-02-04,00:00,00Z,137,139,2,,,139,2,140,3,UWYO,OK_ESTIMATED,Nearest level used: 256 mb
ISHIGAKIJIMA,JP,47918,24.3367,124.1644,2026-02-04,00:00,00Z,92,91,-2,,,91,-1,93,1,UWYO,OK_ESTIMATED,Nearest level used: 252 mb
MINAMIDAITOJIMA,JP,47945,25.8289,131.2286,2026-02-04,00:00,00Z,107,110,3,,,108,1,110,3,UWYO,OK_ESTIMATED,Nearest level used: 258 mb
CHICHIJIMA,JP,47971,27.0922,142.1914,2026-02-04,00:00,00Z,134,135,1,,,137,3,135,1,UWYO,OK,Exact 250 mb level.
MINAMITORISHIMA,JP,47991,24.2883,153.9833,2026-02-04,00:00,00Z,95,97,2,,,95,0,95,0,UWYO,OK_ESTIMATED,Nearest level used: 255 mb
CHIANG MAI,TH,48327,18.7706,98.9683,2026-02-04,00:00,00Z,50,53,3,,,50,0,50,0,UWYO,OK,Exact 250 mb level.
PHITSANULOK,TH,48378,16.7961,100.2758,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KHON KAEN,TH,48381,16.4608,102.7894,2026-02-04,00:00,00Z,25,30,5,,,31,6,30,5,UWYO,OK,Exact 250 mb level.
UBON RATCHATHANI,TH,48407,15.25,104.8667,2026-02-04,00:00,00Z,37,33,-4,,,32,-5,30,-7,UWYO,OK,Exact 250 mb level.
NAKHON RATCHASIMA,TH,48431,14.9681,102.0858,2026-02-03,12:00,12Z,31,34,3,,,30,-1,33,2,UWYO,OK,Exact 250 mb level.
BANGNA AGROMET,TH,48453,13.6664,100.6061,2026-02-04,00:00,00Z,23,27,4,,,24,1,24,1,UWYO,OK,Exact 250 mb level.
SATTAHIP,TH,48477,12.6914,100.9853,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
CHANTHA BURI,TH,48480,12.6094,102.1039,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PRACHUAP KHIRIKHAN,TH,48500,11.835,99.8103,2026-02-04,00:00,00Z,25,17,-8,,,22,-3,25,0,UWYO,OK,Exact 250 mb level.
SURAT THANI,TH,48551,9.1342,99.1519,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PHUKET AIRPORT,TH,48565,8.145,98.3144,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SONGKHLA,TH,48568,7.1819,100.6075,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
