Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
UST'-BARGUZIN,RU,30635,53.4167,109.0167,2/3/2026,0:00,00Z,78,73,-5,,,76,-2,79,1,UWYO,OK,Exact 250 mb level.
MOGOCHA,RU,30673,53.75,119.7333,2/3/2026,0:00,00Z,51,50,-1,,,54,3,52,1,UWYO,OK,Exact 250 mb level.
ANGARSK,RU,30715,52.4833,103.85,2/3/2026,0:00,00Z,91,84,-7,,,88,-4,88,-3,UWYO,OK,Exact 250 mb level.
CHITA,RU,30758,52.0833,113.4833,2/3/2026,0:00,00Z,101,87,-14,,,89,-12,91,-10,UWYO,OK,Exact 250 mb level.
KRASNYJ CHIKOJ,RU,30935,50.3667,108.75,2/3/2026,0:00,00Z,66,71,5,,,72,6,69,3,UWYO,OK,Exact 250 mb level.
BORZYA,RU,30965,50.4,116.5167,2/3/2026,0:00,00Z,312,85,-228,,,81,-231,87,-226,UWYO,OK_ESTIMATED,Nearest level used: 272 mb
ALDAN,RU,31004,58.6167,125.3667,2/3/2026,0:00,00Z,10,10,0,,,9,-1,7,-3,UWYO,OK,Exact 250 mb level.
OHOTSK,RU,31088,59.3667,143.2,2/3/2026,0:00,00Z,19,19,0,,,17,-2,16,-3,UWYO,OK,Exact 250 mb level.
ZEJA,RU,31300,53.7414,127.2764,2/2/2026,12:00,12Z,51,41,-10,,,43,-8,49,-3,UWYO,OK,Exact 250 mb level.
NIKOLAEVSK-NA-AMURE,RU,31369,53.1475,140.6939,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
BLAGOVESCETNSK,RU,31510,50.2803,127.4783,2/3/2026,0:00,00Z,316,85,-231,,,84,-232,86,-230,UWYO,OK_ESTIMATED,Nearest level used: 285 mb
SUTUR,RU,31538,50.0667,132.1333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
HABAROVSK (31736-0),RU,31736,48.5333,135.2333,2/3/2026,0:00,00Z,78,74,-4,,,80,2,75,-3,UWYO,OK,Exact 250 mb level.
SOVETSKAYA GAVAN,RU,31770,0.0049,140.3,2/3/2026,0:00,00Z,82,43,-39,,,36,-46,45,-37,UWYO,OK,Exact 250 mb level.
DAL'NERECHENSK,RU,31873,45.8667,133.7333,2/3/2026,0:00,00Z,62,66,4,,,65,3,61,-1,UWYO,OK,Exact 250 mb level.
VLADIVOSTOK (SAD GOROD),RU,31977,43.2667,132.05,2/3/2026,0:00,00Z,43,43,0,,,40,-3,41,-2,UWYO,OK,Exact 250 mb level.
ALEKSANDROVSK-SAHALINSKIJ,RU,32061,50.9,142.1667,2/3/2026,0:00,00Z,27,24,-3,,,30,3,31,4,UWYO,OK,Exact 250 mb level.
PORONAJSK,RU,32098,49.2167,143.1,2/3/2026,0:00,00Z,39,35,-4,,,36,-3,48,9,UWYO,OK,Exact 250 mb level.
JUZHNO-SAHALINSK,RU,32150,46.95,142.7167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SEVERO-KURIL'SK,RU,32215,50.6833,156.1333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
ALBEMARLE,GB,3238,55.0197,-1.8817,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
KLJUCHI,RU,32389,56.3167,160.8333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SOBOLEVO,RU,32477,54.3,155.9167,2/3/2026,0:00,00Z,29,25,-5,,,27,-2,25,-4,UWYO,OK,Exact 250 mb level.
PETROPAVLOVSK-KAMCHATSKIJ,RU,32540,53.0833,158.5833,2/3/2026,0:00,00Z,27,24,-4,,,25,-2,26,-1,UWYO,OK,Exact 250 mb level.
OSTROV BERINGA,RU,32618,55.2,165.9833,2/2/2026,12:00,12Z,12,12,0,,,13,1,14,2,UWYO,OK,Exact 250 mb level.
BREST (33008-0),BY,33008,52.1167,23.6858,2/2/2026,12:00,12Z,17,18,1,,,19,2,21,4,UWYO,OK,Exact 250 mb level.
NOTTINGHAM WATNALL,GB,3354,53.0056,-1.2511,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
KURSK,RU,34009,51.7667,36.1667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
VORONEZ (34122-0),RU,34122,51.65,39.25,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
SARATOV (34170-1),RU,34172,51.5567,46.0394,2/3/2026,0:00,00Z,68,75,7,,,67,-1,62,-6,UWYO,OK,Exact 250 mb level.
KALACH,RU,34247,50.4167,41.05,2/3/2026,0:00,00Z,315,49,-266,,,53,-263,52,-263,UWYO,OK_ESTIMATED,Interpolated from 264/241 mb
VOLGOGRAD (34467-1),RU,34467,48.7833,44.3333,2/3/2026,0:00,00Z,58,66,8,,,61,3,63,5,UWYO,OK,Exact 250 mb level.
ROSTOV-NA-DONU (34731-1),RU,34731,47.25,39.8167,2/3/2026,0:00,00Z,45,43,-2,,,45,0,46,1,UWYO,OK,Exact 250 mb level.
